userID,artistIDs
539.0,173 154 59 187 227
540.0,997 72 1886 441 993
541.0,959 917 212 1110 234
542.0,288 300 292 89 295
543.0,173 227 424 228 533
544.0,154 190 632 229 225
545.0,540 536 1180 230 300
546.0,707 843 706 821 503
547.0,154 868 234 706 707
548.0,1260 917 1521 1360 954
549.0,1412 706 1372 562 154
550.0,918 1364 1372 503 724
551.0,377 488 333 1180 540
552.0,3725 12840 12842 12843 12844
553.0,89 300 466 701 55
555.0,466 67 701 349 461
556.0,154 6756 1098 237 227
557.0,9 2 1312 515 154
558.0,295 289 292 55 288
559.0,234 533 1412 154 207
560.0,154 599 233 173 190
561.0,6562 3314 239 1596 8604
562.0,3583 2442 3598 3593 2457
563.0,8805 581 11885 11881 11882
565.0,51 1001 993 1014 1072
566.0,51 1713 1072 1001 187
567.0,217 424 207 229 1090
568.0,159 227 511 154 65
569.0,289 55 333 299 291
570.0,6626 6619 331 89 2179
571.0,292 55 302 461 333
572.0,288 55 349 333 291
573.0,267 2907 2916 2919 527
574.0,412 1672 209 1246 220
575.0,159 173 51 65 59
576.0,6277 18314 18315 18316 18318
577.0,173 51 1001 190 1061
578.0,466 333 288 289 89
579.0,918 917 1527 1261 1360
580.0,190 154 227 982 229
581.0,701 300 349 466 302
582.0,825 809 1559 4948 1542
583.0,209 377 500 1185 540
584.0,2468 461 289 3585 288
585.0,229 424 1090 533 154
586.0,8525 8529 8531 8327 10894
587.0,2379 923 806 707 810
589.0,89 333 306 302 325
590.0,89 292 295 344 291
592.0,289 288 295 300 173
